                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.82475,                0.43481,                0.98535,                0.99474,                      1,                0.99463,                 0.8549,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     66,                0.83443,                0.43281,                0.97989,                0.99758,                0.99531,                  0.995,                 0.8608,                      0,                    inf,                      0,              0.0067825,              0.0067825,              0.0067825
                     67,                0.82849,                0.42725,                0.98428,                0.99532,                0.99875,                0.99266,                0.86191,                      0,                    inf,                      0,               0.006733,               0.006733,               0.006733
                     68,                0.82526,                0.43445,                0.97757,                0.99402,                      1,                0.99486,                0.86687,                      0,                    inf,                      0,              0.0066835,              0.0066835,              0.0066835
                     69,                0.84325,                 0.4417,                0.99013,                0.99933,                0.99531,                  0.995,                0.86921,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     70,                0.81208,                0.43223,                0.98162,                0.99866,                0.99531,                  0.995,                0.86245,                      0,                    inf,                      0,              0.0065845,              0.0065845,              0.0065845
                     71,                0.83251,                0.42595,                0.98603,                 0.9953,                0.99425,                0.99491,                0.84381,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                     72,                0.81251,                0.42234,                0.97487,                0.99065,                0.99435,                0.99495,                0.87372,                      0,                    inf,                      0,              0.0064855,              0.0064855,              0.0064855
                     73,                0.81097,                 0.4227,                0.97416,                0.99944,                0.99531,                  0.995,                0.86202,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     74,                0.79417,                0.41536,                0.97032,                 0.9992,                0.99531,                  0.995,                 0.8615,                      0,                    inf,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.80295,                 0.4204,                0.97163,                0.99532,                0.99907,                0.99495,                 0.8548,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     76,                0.81339,                0.43129,                0.97173,                0.99577,                0.99531,                  0.995,                0.85839,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
